0.00.196.140 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.196.607 W srv  llama_server: -----------------
0.00.196.610 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.196.610 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.196.610 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.196.611 W srv  llama_server: -----------------
0.00.197.929 I srv    load_model: loading model '/models/Ternary-Bonsai-27B-Q2_g64.gguf'
0.04.171.597 I cmn          init: llama threadpool init, n_threads = 4
0.04.360.732 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 135168, kv_unified = 'false'
0.04.366.615 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.366.652 I srv  llama_server: model loaded
0.04.366.657 I srv  llama_server: listening on http://0.0.0.0:8080
0.04.366.659 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.366.659 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.06.442.425 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.45.474.022 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.27, t =  39.03 s / 892.00 tokens per second
0.48.189.811 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.28, t =  41.75 s / 883.03 tokens per second
0.50.951.944 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.30, t =  44.51 s / 874.24 tokens per second
0.53.760.167 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.31, t =  47.32 s / 865.64 tokens per second
0.56.613.929 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.33, t =  50.17 s / 857.22 tokens per second
0.59.514.349 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.34, t =  53.07 s / 848.96 tokens per second
1.02.460.351 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.36, t =  56.02 s / 840.88 tokens per second
1.05.451.456 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49152, progress = 0.37, t =  59.01 s / 832.96 tokens per second
1.08.488.893 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51200, progress = 0.39, t =  62.05 s / 825.19 tokens per second
1.11.572.010 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53248, progress = 0.41, t =  65.13 s / 817.57 tokens per second
1.14.700.164 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55296, progress = 0.42, t =  68.26 s / 810.11 tokens per second
1.17.874.384 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57344, progress = 0.44, t =  71.43 s / 802.78 tokens per second
1.21.094.452 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59392, progress = 0.45, t =  74.65 s / 795.59 tokens per second
1.24.359.773 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  61440, progress = 0.47, t =  77.92 s / 788.53 tokens per second
1.27.671.312 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  63488, progress = 0.48, t =  81.23 s / 781.60 tokens per second
1.31.028.247 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  65536, progress = 0.50, t =  84.59 s / 774.79 tokens per second
1.34.430.755 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  67584, progress = 0.52, t =  87.99 s / 768.10 tokens per second
1.37.879.058 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  69632, progress = 0.53, t =  91.44 s / 761.53 tokens per second
1.41.373.222 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  71680, progress = 0.55, t =  94.93 s / 755.08 tokens per second
1.44.912.991 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  73728, progress = 0.56, t =  98.47 s / 748.73 tokens per second
1.48.499.722 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  75776, progress = 0.58, t = 102.06 s / 742.49 tokens per second
1.52.131.742 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  77824, progress = 0.59, t = 105.69 s / 736.35 tokens per second
1.55.810.155 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  79872, progress = 0.61, t = 109.37 s / 730.31 tokens per second
1.59.533.529 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  81920, progress = 0.62, t = 113.09 s / 724.37 tokens per second
2.03.301.725 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  83968, progress = 0.64, t = 116.86 s / 718.54 tokens per second
2.07.115.607 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  86016, progress = 0.66, t = 120.67 s / 712.80 tokens per second
2.10.975.472 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  88064, progress = 0.67, t = 124.53 s / 707.15 tokens per second
2.14.879.381 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  90112, progress = 0.69, t = 128.44 s / 701.61 tokens per second
2.18.830.083 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  92160, progress = 0.70, t = 132.39 s / 696.14 tokens per second
2.22.829.839 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  94208, progress = 0.72, t = 136.39 s / 690.74 tokens per second
2.26.874.452 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  96256, progress = 0.73, t = 140.43 s / 685.43 tokens per second
2.30.964.832 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  98304, progress = 0.75, t = 144.52 s / 680.20 tokens per second
2.35.100.308 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 100352, progress = 0.77, t = 148.66 s / 675.05 tokens per second
2.39.283.654 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 102400, progress = 0.78, t = 152.84 s / 669.98 tokens per second
2.43.514.117 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 104448, progress = 0.80, t = 157.07 s / 664.97 tokens per second
2.47.789.515 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 106496, progress = 0.81, t = 161.35 s / 660.04 tokens per second
2.52.109.108 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 108544, progress = 0.83, t = 165.67 s / 655.20 tokens per second
2.56.475.236 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 110592, progress = 0.84, t = 170.03 s / 650.42 tokens per second
3.00.890.643 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 112640, progress = 0.86, t = 174.45 s / 645.69 tokens per second
3.05.352.437 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 114688, progress = 0.87, t = 178.91 s / 641.04 tokens per second
3.09.859.314 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 116736, progress = 0.89, t = 183.42 s / 636.45 tokens per second
3.14.414.172 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 118784, progress = 0.91, t = 187.97 s / 631.93 tokens per second
3.19.017.959 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 120832, progress = 0.92, t = 192.58 s / 627.45 tokens per second
3.23.663.132 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 122880, progress = 0.94, t = 197.22 s / 623.06 tokens per second
3.28.355.036 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 124928, progress = 0.95, t = 201.91 s / 618.72 tokens per second
3.33.090.764 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 126976, progress = 0.97, t = 206.65 s / 614.46 tokens per second
3.37.877.284 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 129024, progress = 0.98, t = 211.43 s / 610.23 tokens per second
3.42.082.836 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 130562, progress = 1.00, t = 215.64 s / 605.46 tokens per second
3.42.999.884 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 131074, progress = 1.00, t = 216.56 s / 605.26 tokens per second
3.58.324.571 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =   6.76 t/s, tg_3s =   6.83 t/s
4.01.413.377 I slot print_timing: id  0 | task 0 | n_gen =    121, tg =   6.77 t/s, tg_3s =   6.80 t/s
4.04.502.115 I slot print_timing: id  0 | task 0 | n_gen =    142, tg =   6.77 t/s, tg_3s =   6.80 t/s
4.07.593.826 I slot print_timing: id  0 | task 0 | n_gen =    163, tg =   6.78 t/s, tg_3s =   6.79 t/s
4.10.683.776 I slot print_timing: id  0 | task 0 | n_gen =    184, tg =   6.78 t/s, tg_3s =   6.80 t/s
4.13.772.632 I slot print_timing: id  0 | task 0 | n_gen =    205, tg =   6.78 t/s, tg_3s =   6.80 t/s
4.16.861.820 I slot print_timing: id  0 | task 0 | n_gen =    226, tg =   6.78 t/s, tg_3s =   6.80 t/s
4.19.950.364 I slot print_timing: id  0 | task 0 | n_gen =    247, tg =   6.78 t/s, tg_3s =   6.80 t/s
4.22.961.843 I slot print_timing: id  0 | task 0 | n_gen =    267, tg =   6.77 t/s, tg_3s =   6.64 t/s
4.26.058.650 I slot print_timing: id  0 | task 0 | n_gen =    288, tg =   6.77 t/s, tg_3s =   6.78 t/s
4.27.827.935 I slot print_timing: id  0 | task 0 | prompt eval time =  217242.76 ms / 131078 tokens (    1.66 ms per token,   603.37 tokens per second)
4.27.827.940 I slot print_timing: id  0 | task 0 |        eval time =   44142.55 ms /   300 tokens (  147.63 ms per token,     6.77 tokens per second)
4.27.827.941 I slot print_timing: id  0 | task 0 |       total time =  261385.31 ms / 131378 tokens
4.27.827.945 I slot print_timing: id  0 | task 0 |    graphs reused =        298
4.27.833.242 I slot      release: id  0 | task 0 | stop processing: n_tokens = 131377, truncated = 0
4.28.197.040 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.998
4.28.197.205 I slot launch_slot_: id  0 | task 366 | processing task, is_child = 0
4.43.103.784 I slot print_timing: id  0 | task 366 | n_gen =    100, tg =   6.78 t/s, tg_3s =   6.84 t/s
4.46.187.991 I slot print_timing: id  0 | task 366 | n_gen =    121, tg =   6.78 t/s, tg_3s =   6.81 t/s
4.49.272.616 I slot print_timing: id  0 | task 366 | n_gen =    142, tg =   6.79 t/s, tg_3s =   6.81 t/s
4.52.358.454 I slot print_timing: id  0 | task 366 | n_gen =    163, tg =   6.79 t/s, tg_3s =   6.81 t/s
4.55.443.532 I slot print_timing: id  0 | task 366 | n_gen =    184, tg =   6.79 t/s, tg_3s =   6.81 t/s
4.58.527.628 I slot print_timing: id  0 | task 366 | n_gen =    205, tg =   6.79 t/s, tg_3s =   6.81 t/s
5.01.611.128 I slot print_timing: id  0 | task 366 | n_gen =    226, tg =   6.79 t/s, tg_3s =   6.81 t/s
5.04.695.227 I slot print_timing: id  0 | task 366 | n_gen =    247, tg =   6.80 t/s, tg_3s =   6.81 t/s
5.07.700.314 I slot print_timing: id  0 | task 366 | n_gen =    267, tg =   6.78 t/s, tg_3s =   6.66 t/s
5.10.791.773 I slot print_timing: id  0 | task 366 | n_gen =    288, tg =   6.79 t/s, tg_3s =   6.79 t/s
5.12.558.208 I slot print_timing: id  0 | task 366 | prompt eval time =     296.87 ms /     4 tokens (   74.22 ms per token,    13.47 tokens per second)
5.12.558.212 I slot print_timing: id  0 | task 366 |        eval time =   44064.11 ms /   300 tokens (  147.37 ms per token,     6.79 tokens per second)
5.12.558.213 I slot print_timing: id  0 | task 366 |       total time =   44360.98 ms /   304 tokens
5.12.558.214 I slot print_timing: id  0 | task 366 |    graphs reused =        595
5.12.563.245 I slot      release: id  0 | task 366 | stop processing: n_tokens = 131377, truncated = 0
5.12.944.790 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.998
5.12.944.954 I slot launch_slot_: id  0 | task 667 | processing task, is_child = 0
5.27.847.318 I slot print_timing: id  0 | task 667 | n_gen =    100, tg =   6.78 t/s, tg_3s =   6.85 t/s
5.30.932.671 I slot print_timing: id  0 | task 667 | n_gen =    121, tg =   6.78 t/s, tg_3s =   6.81 t/s
5.34.017.821 I slot print_timing: id  0 | task 667 | n_gen =    142, tg =   6.79 t/s, tg_3s =   6.81 t/s
5.37.103.084 I slot print_timing: id  0 | task 667 | n_gen =    163, tg =   6.79 t/s, tg_3s =   6.81 t/s
5.40.187.893 I slot print_timing: id  0 | task 667 | n_gen =    184, tg =   6.79 t/s, tg_3s =   6.81 t/s
5.43.273.014 I slot print_timing: id  0 | task 667 | n_gen =    205, tg =   6.79 t/s, tg_3s =   6.81 t/s
5.46.357.001 I slot print_timing: id  0 | task 667 | n_gen =    226, tg =   6.79 t/s, tg_3s =   6.81 t/s
5.49.441.477 I slot print_timing: id  0 | task 667 | n_gen =    247, tg =   6.80 t/s, tg_3s =   6.81 t/s
5.52.449.798 I slot print_timing: id  0 | task 667 | n_gen =    267, tg =   6.78 t/s, tg_3s =   6.65 t/s
5.55.541.988 I slot print_timing: id  0 | task 667 | n_gen =    288, tg =   6.78 t/s, tg_3s =   6.79 t/s
5.57.308.977 I slot print_timing: id  0 | task 667 | prompt eval time =     294.28 ms /     4 tokens (   73.57 ms per token,    13.59 tokens per second)
5.57.308.983 I slot print_timing: id  0 | task 667 |        eval time =   44069.72 ms /   300 tokens (  147.39 ms per token,     6.78 tokens per second)
5.57.308.984 I slot print_timing: id  0 | task 667 |       total time =   44364.00 ms /   304 tokens
5.57.308.985 I slot print_timing: id  0 | task 667 |    graphs reused =        892
5.57.314.785 I slot      release: id  0 | task 667 | stop processing: n_tokens = 131377, truncated = 0
5.57.686.504 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.998
5.57.686.666 I slot launch_slot_: id  0 | task 968 | processing task, is_child = 0
6.12.606.675 I slot print_timing: id  0 | task 968 | n_gen =    100, tg =   6.77 t/s, tg_3s =   6.84 t/s
6.15.691.567 I slot print_timing: id  0 | task 968 | n_gen =    121, tg =   6.78 t/s, tg_3s =   6.81 t/s
6.18.775.656 I slot print_timing: id  0 | task 968 | n_gen =    142, tg =   6.78 t/s, tg_3s =   6.81 t/s
6.21.860.872 I slot print_timing: id  0 | task 968 | n_gen =    163, tg =   6.78 t/s, tg_3s =   6.81 t/s
6.24.945.343 I slot print_timing: id  0 | task 968 | n_gen =    184, tg =   6.79 t/s, tg_3s =   6.81 t/s
6.28.030.455 I slot print_timing: id  0 | task 968 | n_gen =    205, tg =   6.79 t/s, tg_3s =   6.81 t/s
6.31.115.470 I slot print_timing: id  0 | task 968 | n_gen =    226, tg =   6.79 t/s, tg_3s =   6.81 t/s
6.34.199.786 I slot print_timing: id  0 | task 968 | n_gen =    247, tg =   6.79 t/s, tg_3s =   6.81 t/s
6.37.206.150 I slot print_timing: id  0 | task 968 | n_gen =    267, tg =   6.78 t/s, tg_3s =   6.65 t/s
6.40.298.824 I slot print_timing: id  0 | task 968 | n_gen =    288, tg =   6.78 t/s, tg_3s =   6.79 t/s
6.42.065.660 I slot print_timing: id  0 | task 968 | prompt eval time =     296.95 ms /     4 tokens (   74.24 ms per token,    13.47 tokens per second)
6.42.065.665 I slot print_timing: id  0 | task 968 |        eval time =   44082.02 ms /   300 tokens (  147.43 ms per token,     6.78 tokens per second)
6.42.065.666 I slot print_timing: id  0 | task 968 |       total time =   44378.97 ms /   304 tokens
6.42.065.667 I slot print_timing: id  0 | task 968 |    graphs reused =       1189
6.42.070.727 I slot      release: id  0 | task 968 | stop processing: n_tokens = 131377, truncated = 0
